date,country,active_users,content_created,reports,enforcements,appeals,successful_appeals,median_response_time_hours,reports_spam,reports_harassment_hate,reports_nudity,reports_misinformation,reports_child_safety,reports_other,reports_user,reports_ai,reports_trusted,enf_removed,enf_warning,enf_suspension,enf_downrank,report_rate,enforcement_rate,appeal_rate,appeal_success_rate,share_spam,share_harassment_hate,share_nudity,share_misinformation,share_child_safety,share_other,share_user,share_ai,share_trusted
2025-03-01,Singapore,51241,2150,25,14,0,0,24.2,8,2,1,6,1,7,12,13,0,3,3,0,8,0.011627906976744186,0.56,0.0,,0.32,0.08,0.04,0.24,0.04,0.28,0.48,0.52,0.0
2025-03-01,Indonesia,397235,14459,153,102,6,0,25.1,72,26,19,19,4,13,46,91,16,61,10,4,27,0.01058164465039076,0.6666666666666666,0.058823529411764705,0.0,0.47058823529411764,0.16993464052287582,0.12418300653594772,0.12418300653594772,0.026143790849673203,0.08496732026143791,0.3006535947712418,0.5947712418300654,0.10457516339869281
2025-03-01,Philippines,200917,9488,99,67,4,0,21.9,33,14,9,25,1,17,43,45,11,38,12,1,16,0.010434232715008433,0.6767676767676768,0.05970149253731343,0.0,0.3333333333333333,0.1414141414141414,0.09090909090909091,0.25252525252525254,0.010101010101010102,0.1717171717171717,0.43434343434343436,0.45454545454545453,0.1111111111111111
2025-03-01,Thailand,135094,5425,72,50,2,0,21.3,26,13,8,13,2,10,33,35,4,27,4,4,15,0.013271889400921659,0.6944444444444444,0.04,0.0,0.3611111111111111,0.18055555555555555,0.1111111111111111,0.18055555555555555,0.027777777777777776,0.1388888888888889,0.4583333333333333,0.4861111111111111,0.05555555555555555
2025-03-01,Vietnam,196791,7784,82,54,1,0,27.0,37,10,11,12,3,9,30,44,8,38,6,1,9,0.0105344295991778,0.6585365853658537,0.018518518518518517,0.0,0.45121951219512196,0.12195121951219512,0.13414634146341464,0.14634146341463414,0.036585365853658534,0.10975609756097561,0.36585365853658536,0.5365853658536586,0.0975609756097561
2025-03-02,Singapore,51184,2161,27,16,0,0,20.6,12,3,2,4,1,5,9,12,6,9,4,0,3,0.012494215640906987,0.5925925925925926,0.0,,0.4444444444444444,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.037037037037037035,0.18518518518518517,0.3333333333333333,0.4444444444444444,0.2222222222222222
2025-03-02,Indonesia,410099,13233,139,98,6,0,21.5,57,21,18,22,2,19,66,64,9,62,14,1,21,0.010504042922995541,0.7050359712230215,0.061224489795918366,0.0,0.41007194244604317,0.1510791366906475,0.12949640287769784,0.15827338129496402,0.014388489208633094,0.1366906474820144,0.4748201438848921,0.460431654676259,0.06474820143884892
2025-03-02,Philippines,208657,4607,44,26,0,0,27.6,11,5,9,14,0,5,22,17,5,19,2,0,5,0.00955068374213154,0.5909090909090909,0.0,,0.25,0.11363636363636363,0.20454545454545456,0.3181818181818182,0.0,0.11363636363636363,0.5,0.38636363636363635,0.11363636363636363
2025-03-02,Thailand,150727,5871,67,45,1,0,23.0,25,9,10,11,2,10,33,31,3,32,4,4,5,0.0114120252086527,0.6716417910447762,0.022222222222222223,0.0,0.373134328358209,0.13432835820895522,0.14925373134328357,0.16417910447761194,0.029850746268656716,0.14925373134328357,0.4925373134328358,0.4626865671641791,0.04477611940298507
2025-03-02,Vietnam,185356,5295,76,51,2,0,27.9,28,6,17,18,2,5,33,31,12,32,7,2,10,0.014353163361661946,0.6710526315789473,0.0392156862745098,0.0,0.3684210526315789,0.07894736842105263,0.2236842105263158,0.23684210526315788,0.02631578947368421,0.06578947368421052,0.4342105263157895,0.40789473684210525,0.15789473684210525
2025-03-03,Singapore,50738,1594,22,14,0,0,21.7,11,4,2,3,0,2,3,15,4,5,6,0,3,0.013801756587202008,0.6363636363636364,0.0,,0.5,0.18181818181818182,0.09090909090909091,0.13636363636363635,0.0,0.09090909090909091,0.13636363636363635,0.6818181818181818,0.18181818181818182
2025-03-03,Indonesia,378054,9107,86,58,0,0,25.0,36,12,10,12,1,15,35,44,7,31,11,5,11,0.009443285384868782,0.6744186046511628,0.0,,0.4186046511627907,0.13953488372093023,0.11627906976744186,0.13953488372093023,0.011627906976744186,0.1744186046511628,0.4069767441860465,0.5116279069767442,0.08139534883720931
2025-03-03,Philippines,208513,8850,89,60,2,0,27.1,37,13,11,16,1,11,37,46,6,34,8,1,17,0.010056497175141243,0.6741573033707865,0.03333333333333333,0.0,0.4157303370786517,0.14606741573033707,0.12359550561797752,0.1797752808988764,0.011235955056179775,0.12359550561797752,0.4157303370786517,0.5168539325842697,0.06741573033707865
2025-03-03,Thailand,145348,3256,38,24,0,0,25.8,14,11,2,6,2,3,21,12,5,17,2,1,4,0.01167076167076167,0.631578947368421,0.0,,0.3684210526315789,0.2894736842105263,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.07894736842105263,0.5526315789473685,0.3157894736842105,0.13157894736842105
2025-03-03,Vietnam,180779,6731,96,66,2,0,25.7,35,12,10,24,3,12,45,39,12,33,7,3,23,0.014262368147377804,0.6875,0.030303030303030304,0.0,0.3645833333333333,0.125,0.10416666666666667,0.25,0.03125,0.125,0.46875,0.40625,0.125
2025-03-04,Singapore,49611,1946,24,14,0,0,23.1,10,2,3,6,1,2,9,12,3,5,4,0,5,0.012332990750256937,0.5833333333333334,0.0,,0.4166666666666667,0.08333333333333333,0.125,0.25,0.041666666666666664,0.08333333333333333,0.375,0.5,0.125
2025-03-04,Indonesia,416463,12656,147,98,2,0,25.3,59,18,15,30,3,22,68,67,12,53,11,4,30,0.011615044247787611,0.6666666666666666,0.02040816326530612,0.0,0.4013605442176871,0.12244897959183673,0.10204081632653061,0.20408163265306123,0.02040816326530612,0.14965986394557823,0.46258503401360546,0.4557823129251701,0.08163265306122448
